timestamp_utc,overall_vibration_value,speed_value,skin_temperature_value,motor_supply_frequency_value,output_power_value,peak_to_peak_tangential_value,vibration_radial_value,vibration_tangential_value,vibration_axial_value,acceleration_rms_axial_value,acceleration_rms_tangential_value,acceleration_rms_radial_value
2026-05-02 01:00:00,1.446,692.9,33.9,23.22,0.86,1.6934,0.42,0.862,1.446,0.1598,0.2888,0.0798
2026-05-02 03:00:00,2.104,693.3,37.2,23.23,0.87,1.8418,0.464,0.906,2.104,0.199,0.3225,0.0783
2026-05-02 04:00:00,1.676,693.5,37.8,23.27,1.04,1.7861,0.473,0.812,1.676,0.1625,0.3298,0.076
2026-05-02 05:00:00,0.785,692.3,39.8,23.27,1.31,1.7129,0.426,0.785,0.521,0.1145,0.3357,0.0693
2026-05-02 06:00:00,3.828,690.8,39.6,23.27,1.66,1.7461,0.488,0.862,3.828,0.301,0.3359,0.0698
2026-05-02 07:00:00,0.831,690.7,43.4,23.25,1.59,1.6934,0.406,0.831,0.638,0.1241,0.3401,0.0692
2026-05-02 08:00:00,1.558,689.1,40.2,23.27,2.07,1.6406,0.402,0.854,1.558,0.1559,0.3257,0.0655
2026-05-02 09:00:00,2.941,692.4,40.2,23.27,1.3,1.6572,0.436,0.752,2.941,0.2426,0.3242,0.0649
2026-05-02 10:00:00,0.88,692.6,40.7,23.27,1.26,1.667,0.442,0.88,0.701,0.1179,0.3259,0.064
2026-05-02 11:00:00,1.892,692.7,40.6,23.28,1.33,1.6475,0.395,0.962,1.892,0.1716,0.3252,0.0637
2026-05-02 15:00:00,1.613,755.9,38.7,25.31,0.87,1.9453,0.73,1.613,0.382,0.131,0.3655,0.0782
2026-05-02 18:00:00,1.418,627.1,37.8,21.2,1.9,2.3906,0.79,1.418,0.787,0.0909,0.4233,0.1433
2026-05-02 19:00:00,1.33,624.4,41.2,21.2,2.47,2.5801,0.636,1.33,0.578,0.0893,0.4194,0.1289
2026-05-02 20:00:00,0.3,145.8,43.0,5.03,0.25,0.0781,0.159,0.3,0.098,0.0054,0.0109,0.0071
2026-05-02 22:00:00,1.165,629.8,37.4,21.17,1.13,2.0703,0.654,1.165,0.616,0.0901,0.374,0.1213
2026-05-02 23:00:00,1.366,629.5,38.7,21.19,1.3,2.2969,0.618,1.366,0.559,0.0882,0.4138,0.1342
2026-05-03 01:00:00,1.508,630.3,36.9,21.2,1.24,2.3828,0.716,1.508,0.668,0.0926,0.4417,0.1554
2026-05-03 03:00:00,1.406,629.2,38.1,21.19,1.36,2.3535,0.797,1.406,0.859,0.0905,0.4233,0.1428
2026-05-03 05:00:00,1.427,628.8,37.7,21.16,1.25,2.4453,0.612,1.427,0.565,0.09,0.415,0.1365
2026-05-03 06:00:00,1.612,630.0,36.6,21.11,0.69,2.2129,0.687,1.612,1.06,0.1285,0.3572,0.1121
2026-05-03 07:00:00,1.218,629.8,37.3,21.12,0.82,2.2441,0.706,1.218,0.562,0.0952,0.3662,0.1169
2026-05-03 08:00:00,1.161,629.8,37.8,21.12,0.83,2.1895,0.62,1.161,0.761,0.0961,0.3528,0.1068
2026-05-03 13:00:00,1.596,629.8,36.8,21.23,1.53,2.4609,0.688,1.596,0.623,0.0932,0.4465,0.1561
2026-05-03 16:00:00,1.012,503.5,37.8,17.09,1.6,1.6299,0.542,1.012,0.638,0.0744,0.3154,0.1134
2026-05-03 17:00:00,1.011,504.0,42.1,17.08,1.42,1.7959,0.59,1.011,0.7,0.0865,0.3289,0.109
2026-05-03 18:00:00,0.789,504.0,41.1,17.09,1.51,1.5361,0.507,0.789,0.726,0.0825,0.2927,0.0865
2026-05-03 19:00:00,0.916,503.6,41.2,17.09,1.58,1.7939,0.637,0.916,0.714,0.0855,0.3164,0.1033
2026-05-03 20:00:00,0.742,503.6,41.9,17.09,1.58,1.4531,0.499,0.642,0.742,0.0846,0.2893,0.0814
2026-05-03 21:00:00,0.855,503.8,41.3,17.09,1.54,1.6396,0.602,0.855,0.705,0.0813,0.2991,0.0912
2026-05-03 23:00:00,0.91,504.1,39.8,17.12,1.66,1.7588,0.787,0.91,0.777,0.0817,0.3176,0.108
2026-05-04 00:00:00,0.896,503.9,43.9,17.12,1.69,1.7734,0.477,0.896,0.696,0.0903,0.3198,0.0966
2026-05-04 01:00:00,0.765,503.7,42.0,17.12,1.72,1.5713,0.573,0.765,0.702,0.0838,0.2954,0.0844
2026-05-04 02:00:00,0.84,503.7,41.8,17.12,1.72,1.7334,0.449,0.84,0.687,0.0886,0.313,0.0963
2026-05-04 03:00:00,0.762,503.9,42.7,17.12,1.69,1.5615,0.535,0.762,0.698,0.0854,0.2954,0.0804
2026-05-04 04:00:00,0.657,504.2,42.2,17.12,1.63,1.6523,0.527,0.631,0.657,0.0834,0.2949,0.0831
2026-05-04 06:00:00,0.719,503.6,41.7,17.12,1.73,1.5322,0.421,0.719,0.673,0.0858,0.2856,0.082
2026-05-04 07:00:00,0.832,503.8,43.2,17.12,1.71,1.7002,0.593,0.832,0.616,0.088,0.3179,0.098
2026-05-04 08:00:00,0.698,503.8,41.8,17.12,1.7,1.5752,0.454,0.698,0.636,0.082,0.2869,0.0809
2026-05-04 09:00:00,0.986,503.8,41.2,17.12,1.7,1.7178,0.775,0.986,0.641,0.0828,0.334,0.114
2026-05-04 10:00:00,0.731,503.9,42.0,17.12,1.68,1.5859,0.493,0.704,0.731,0.083,0.293,0.0834
2026-05-04 11:00:00,0.784,503.8,42.4,17.12,1.7,1.6523,0.543,0.784,0.694,0.0898,0.3032,0.0919
2026-05-04 12:00:00,0.623,503.8,43.2,17.12,1.7,1.5459,0.357,0.592,0.623,0.0853,0.2925,0.0773
2026-05-04 13:00:00,0.772,503.8,42.3,17.12,1.71,1.667,0.466,0.772,0.64,0.0806,0.3105,0.0931
2026-05-04 15:00:00,0.712,503.7,42.8,17.12,1.72,1.5283,0.376,0.635,0.712,0.0861,0.2944,0.0783
2026-05-04 16:00:00,0.891,503.8,42.4,17.12,1.71,1.7959,0.539,0.891,0.684,0.0828,0.321,0.1004
2026-05-04 17:00:00,0.674,504.0,43.3,17.14,1.76,1.5713,0.451,0.674,0.662,0.0837,0.3015,0.0823
2026-05-04 18:00:00,0.768,504.4,42.8,17.14,1.69,1.6006,0.562,0.768,0.625,0.0861,0.3054,0.0877
2026-05-04 22:00:00,0.458,314.4,35.4,10.75,0.87,0.8379,0.439,0.458,0.196,0.049,0.1385,0.0417
2026-05-04 23:00:00,0.476,314.8,39.5,10.75,0.83,0.8867,0.393,0.476,0.204,0.0433,0.1606,0.0459
2026-05-05 01:00:00,0.479,314.9,41.7,10.7,0.66,0.9224,0.348,0.479,0.278,0.043,0.1686,0.0457
2026-05-05 02:00:00,0.375,315.1,41.9,10.7,0.61,0.9209,0.298,0.375,0.183,0.0419,0.167,0.0425
2026-05-05 03:00:00,0.444,314.9,42.4,10.7,0.66,0.8994,0.277,0.444,0.252,0.0418,0.168,0.0421
2026-05-05 04:00:00,0.454,315.2,42.4,10.7,0.64,0.9346,0.362,0.454,0.265,0.0432,0.1719,0.0443
2026-05-05 06:00:00,0.424,315.1,42.4,10.7,0.64,0.9614,0.319,0.424,0.224,0.0427,0.174,0.0461
2026-05-05 07:00:00,0.546,314.7,42.2,10.7,0.66,0.9009,0.469,0.546,0.231,0.041,0.1678,0.0441
2026-05-05 08:00:00,0.456,315.1,42.4,10.7,0.64,0.8896,0.362,0.456,0.235,0.0425,0.1713,0.0436
2026-05-05 10:00:01,0.537,314.1,42.3,10.7,0.72,0.9155,0.455,0.537,0.305,0.0442,0.173,0.0437
2026-05-05 11:00:01,0.549,315.1,41.8,10.7,0.65,0.9067,0.549,0.489,0.216,0.0456,0.1676,0.0448
2026-05-05 14:00:01,0.267,1480.1,38.5,50.03,10.39,0.0811,0.161,0.267,0.085,0.0061,0.012,0.0073
2026-05-05 15:00:01,0.288,152.7,36.7,5.27,0.28,0.1309,0.199,0.288,0.108,0.0087,0.0214,0.0107
2026-05-05 16:00:01,0.337,170.7,35.6,5.78,0.16,0.4124,0.226,0.337,0.213,0.0304,0.0703,0.0235
2026-05-05 19:00:01,0.909,1323.7,38.9,44.41,3.77,2.6758,0.909,0.827,0.656,0.2725,0.4604,0.1835
2026-05-05 23:00:01,1.083,1071.1,35.2,36.0,3.21,2.9492,0.866,1.083,0.787,0.201,0.4517,0.1204
2026-05-06 00:00:01,1.014,1071.0,37.4,36.0,3.24,2.2695,1.014,0.987,0.865,0.2028,0.3845,0.0875
2026-05-06 01:00:01,0.921,1060.6,39.2,36.0,6.98,2.4082,0.779,0.921,0.794,0.1957,0.3818,0.079
2026-05-06 03:00:01,0.772,1071.1,40.3,36.0,3.21,2.1133,0.766,0.772,0.721,0.1926,0.3835,0.0768
2026-05-06 04:00:01,0.92,1061.2,39.6,36.0,6.76,2.1133,0.92,0.882,0.804,0.1907,0.3662,0.0786
2026-05-06 06:00:01,0.813,1070.8,42.7,36.0,3.31,2.3555,0.812,0.813,0.729,0.1765,0.417,0.0782
2026-05-06 07:00:01,1.044,1061.9,41.1,36.0,6.51,2.0371,1.002,1.044,0.888,0.191,0.3706,0.0786
2026-05-06 11:00:01,1.609,1007.8,39.6,34.0,4.14,2.2793,1.609,1.349,0.937,0.1823,0.3911,0.0916
2026-05-06 12:00:01,2.105,1008.2,43.1,34.0,4.01,2.0469,2.105,1.148,1.155,0.1836,0.3669,0.0953
2026-05-06 13:00:01,1.624,1008.0,44.3,34.0,4.08,1.9824,1.624,1.271,1.045,0.1888,0.3713,0.084
2026-05-06 16:00:01,1.906,1000.1,42.3,33.88,5.47,2.1055,1.906,0.856,0.851,0.179,0.3789,0.0945
2026-05-06 19:00:01,1.833,1008.0,41.5,33.91,3.1,2.0879,1.833,1.052,0.923,0.1735,0.3879,0.0915
2026-05-07 02:00:01,1.413,1699.5,38.3,57.09,5.85,2.4551,0.958,1.413,1.09,0.2632,0.3887,0.1077
2026-05-07 05:00:01,2.023,1701.5,41.6,57.12,5.35,2.459,1.959,1.44,2.023,0.271,0.3445,0.1271
2026-05-07 06:00:01,2.662,1701.1,42.2,57.12,5.54,2.3301,1.267,2.486,2.662,0.2676,0.3694,0.1121
2026-05-07 10:00:01,0.243,1478.3,47.0,49.97,10.36,0.1372,0.157,0.243,0.1,0.0092,0.0196,0.0091
2026-05-07 11:00:01,2.703,1701.8,40.8,57.12,5.22,2.5449,1.081,2.703,2.088,0.2788,0.4038,0.1183
2026-05-07 14:00:01,2.238,1701.8,46.6,57.16,5.62,2.5645,1.119,1.668,2.238,0.2856,0.4226,0.1337
2026-05-07 16:00:01,2.121,1701.3,45.2,57.12,5.43,2.9023,1.25,1.727,2.121,0.2744,0.436,0.1192
2026-05-07 18:00:01,2.266,1701.6,42.7,57.16,5.71,2.6152,1.396,1.818,2.266,0.2678,0.3962,0.1236
2026-05-07 20:00:01,2.348,1701.5,44.6,57.16,5.75,2.6211,1.388,1.33,2.348,0.2659,0.4082,0.1194
2026-05-08 02:00:01,2.203,1701.3,40.4,57.12,5.46,2.4277,1.658,1.35,2.203,0.2773,0.3887,0.1273
2026-05-08 05:00:01,2.705,1701.9,37.4,57.12,5.18,2.9531,1.523,1.454,2.705,0.2788,0.407,0.1321
2026-05-08 06:00:01,2.111,1701.3,42.2,57.16,5.86,2.6328,1.14,2.111,0.93,0.2717,0.3757,0.1239
2026-05-08 07:00:01,2.404,1701.3,50.9,57.16,5.86,2.4648,1.303,1.178,2.404,0.2812,0.405,0.1177
2026-05-10 20:00:01,1.42,999.0,37.0,33.84,5.52,2.0723,0.905,1.42,0.61,0.135,0.3103,0.127
2026-05-10 22:00:01,3.867,1701.5,42.2,57.19,6.17,3.3262,1.533,3.867,1.735,0.2566,0.6021,0.2104
2026-05-10 23:00:01,2.77,1701.5,42.1,57.19,6.17,3.6836,1.325,2.77,2.041,0.2742,0.5693,0.2053
2026-05-11 01:00:01,3.275,1701.3,43.2,57.19,6.26,3.9062,1.525,3.275,2.365,0.2551,0.5991,0.2147
2026-05-11 02:00:01,2.281,1702.0,42.4,57.19,5.95,3.6992,1.42,2.281,1.097,0.2668,0.5034,0.1732
2026-05-11 04:00:01,3.281,1701.0,42.4,57.19,6.38,3.2754,2.279,2.049,3.281,0.269,0.4827,0.1732
2026-05-11 05:00:01,2.727,1700.9,42.8,57.19,6.44,3.7188,1.234,2.727,1.539,0.2664,0.5601,0.1934
2026-05-11 06:00:01,1.915,1701.9,43.5,57.16,5.61,3.1758,1.569,1.915,1.282,0.261,0.4688,0.1627
2026-05-11 07:00:01,2.062,1701.4,43.7,57.19,6.21,3.2148,1.671,2.062,1.516,0.2566,0.4849,0.1704
2026-05-11 10:00:01,2.635,1701.8,39.1,57.16,5.64,3.0801,0.989,2.635,1.071,0.2185,0.4622,0.1508
2026-05-11 14:00:01,0.75,1458.7,50.2,50.0,20.67,0.4404,0.673,0.75,0.161,0.0273,0.0656,0.0329
2026-05-11 15:00:01,2.221,1701.8,45.9,57.19,6.04,3.4609,1.194,2.221,1.44,0.2476,0.4824,0.1737
2026-05-11 16:00:01,2.984,1701.2,49.1,57.19,6.31,3.4824,1.691,2.984,0.949,0.2581,0.4983,0.1793
2026-05-11 17:00:01,2.229,1701.2,46.6,57.19,6.31,2.9883,1.492,2.229,1.671,0.2573,0.449,0.165
2026-05-11 18:00:01,2.561,1702.0,47.9,57.16,5.56,3.0879,1.562,2.561,1.024,0.2286,0.4858,0.1732
2026-05-11 19:00:01,2.738,1701.5,45.3,57.19,6.17,3.2988,1.802,2.041,2.738,0.2605,0.47,0.171
2026-05-11 20:00:01,3.314,1701.5,46.3,57.19,6.18,2.9629,1.289,3.314,1.502,0.2581,0.4282,0.15
2026-05-11 21:00:01,2.674,1700.7,46.2,57.16,6.11,2.9219,1.216,2.498,2.674,0.2607,0.4402,0.1528
2026-05-11 22:00:01,2.592,1701.4,48.1,57.16,5.81,3.4883,1.689,2.568,2.592,0.2585,0.4648,0.1669
2026-05-11 23:00:01,2.842,1701.8,45.8,57.16,5.63,2.8633,1.346,2.842,2.182,0.2576,0.4199,0.1416
2026-05-12 00:00:01,2.508,1701.0,48.3,57.16,5.98,3.3945,1.529,2.508,1.583,0.2578,0.4661,0.162
2026-05-12 01:00:01,2.598,1701.0,44.4,57.16,6.01,3.0156,1.394,1.862,2.598,0.2539,0.4307,0.1499
2026-05-12 03:00:01,1.888,1701.7,45.6,57.16,5.68,2.9551,1.205,1.888,1.094,0.2406,0.4395,0.1576
2026-05-12 04:00:01,1.859,1701.6,44.0,57.16,5.75,2.8203,1.48,1.859,1.776,0.2563,0.4426,0.1499
2026-05-12 06:00:01,2.811,1699.7,45.2,57.16,6.57,3.1816,1.143,2.811,1.66,0.2573,0.4773,0.1665
2026-05-12 08:00:01,2.902,1699.9,45.9,57.19,6.86,3.0996,1.37,2.902,1.871,0.261,0.468,0.1659
2026-05-12 10:00:01,2.732,1701.0,47.9,57.16,5.99,2.9492,1.495,2.732,1.809,0.2568,0.4319,0.1559
2026-05-12 11:00:01,2.127,1702.1,49.1,57.16,5.5,3.0391,1.676,2.127,1.002,0.2573,0.4282,0.1633
2026-05-12 13:00:01,1.084,1318.3,50.1,44.12,2.41,1.4658,0.812,1.084,0.626,0.1926,0.2233,0.0886
2026-05-12 14:00:01,2.486,1701.5,47.7,57.12,5.35,3.2539,1.309,2.486,0.945,0.2305,0.5,0.1808
2026-05-12 15:00:01,2.094,1701.2,48.3,57.16,5.9,2.9336,2.094,1.89,1.853,0.2418,0.436,0.17
2026-05-12 17:00:01,3.516,1701.6,45.9,57.16,5.72,2.9902,1.365,3.516,1.019,0.2296,0.4448,0.1549
2026-05-12 21:00:01,1.84,1701.9,44.8,57.16,5.61,2.7832,1.591,1.84,1.796,0.2463,0.4126,0.1462
2026-05-12 21:28:14,0.632,686.0,55.9,23.94,7.7,0.1929,0.275,0.632,0.126,0.0082,0.0274,0.0115
2026-05-12 23:00:00,1.778,1701.7,43.2,57.19,6.07,2.8672,1.19,1.778,1.491,0.2588,0.4441,0.1489
2026-05-13 00:00:01,3.781,608.6,50.2,20.75,2.88,3.3047,1.388,3.781,2.113,0.2491,0.502,0.1624
2026-05-13 01:00:01,0.268,1494.3,53.4,49.97,2.39,0.082,0.166,0.268,0.217,0.0068,0.0099,0.007
2026-05-13 04:00:01,2.082,1701.3,42.4,57.19,6.25,2.6836,1.657,1.784,2.082,0.2595,0.4409,0.1619
2026-05-13 05:00:01,1.71,1701.3,43.5,57.19,6.28,2.6914,1.422,1.64,1.71,0.2747,0.4031,0.1566
2026-05-13 06:00:01,1.622,1701.3,44.8,57.19,6.26,2.832,1.146,1.577,1.622,0.2795,0.4258,0.1611
2026-05-13 07:00:01,1.734,1678.0,46.0,57.19,16.43,2.7305,1.056,1.734,1.696,0.2739,0.4187,0.1516
2026-05-13 10:00:01,1.168,1494.1,48.6,49.97,2.49,2.2012,0.854,1.168,0.746,0.2374,0.3401,0.145
2026-05-13 13:00:01,2.143,1696.6,46.6,57.16,7.92,3.0625,1.444,2.143,1.806,0.2412,0.4307,0.1516
2026-05-13 14:00:01,1.816,1701.7,48.4,57.19,6.08,2.7207,1.331,1.595,1.816,0.2783,0.4353,0.1683
2026-05-13 16:00:01,0.551,314.9,57.7,10.71,0.69,0.5127,0.302,0.551,0.383,0.0364,0.0879,0.0337
2026-05-13 20:00:01,1.609,1689.3,44.1,57.16,11.09,2.707,1.533,1.609,1.532,0.2268,0.4414,0.1556
2026-05-14 03:00:01,1.704,1701.3,37.4,57.16,5.84,2.6152,1.342,1.704,1.632,0.21,0.4253,0.1345
2026-05-14 04:00:01,1.746,1701.7,40.4,57.19,6.09,2.5117,1.467,1.746,1.154,0.2588,0.4385,0.1575
2026-05-14 05:00:01,2.877,1700.3,42.1,57.19,6.72,2.8438,1.402,2.877,0.952,0.2546,0.447,0.1562
2026-05-14 09:00:01,2.543,1701.3,43.9,57.16,5.84,2.7793,0.834,2.543,1.213,0.2438,0.4541,0.1471
2026-05-14 10:00:01,1.981,1700.4,51.7,57.16,6.24,2.7539,0.979,1.962,1.981,0.2445,0.4307,0.1359
2026-05-14 11:00:01,1.985,1701.8,45.5,57.16,5.64,2.6836,1.164,1.985,1.609,0.252,0.3972,0.1376
2026-05-14 13:00:01,1.94,1700.8,41.6,57.16,6.07,2.6973,1.423,1.729,1.94,0.2368,0.4568,0.1494
2026-05-14 14:00:03,2.158,1701.7,42.4,57.16,5.7,2.6328,1.543,2.158,1.497,0.2566,0.4429,0.1465
2026-05-14 16:00:00,3.018,1701.1,41.5,57.16,5.93,2.6152,2.252,1.843,3.018,0.2571,0.4453,0.1528
2026-05-14 17:00:00,2.447,1701.6,40.4,57.12,5.34,2.4688,1.411,2.072,2.447,0.2141,0.4309,0.1381
2026-05-15 00:00:00,0.311,1477.3,35.8,49.97,10.9,0.1006,0.151,0.311,0.16,0.0075,0.0144,0.008
2026-05-15 03:00:00,1.163,562.4,34.6,19.61,5.07,1.2783,0.541,1.163,0.519,0.1626,0.1846,0.0772
2026-05-15 08:00:00,1.958,1672.2,39.3,57.19,19.0,2.5254,1.842,1.733,1.958,0.2113,0.4199,0.1453
2026-05-15 12:00:00,1.717,1701.1,45.8,57.22,6.77,2.8711,1.717,1.71,1.283,0.2678,0.448,0.1677
2026-05-15 16:00:00,1.375,1006.9,42.2,33.81,2.51,1.4229,1.375,0.935,0.606,0.1387,0.2456,0.1089
2026-05-15 18:00:00,1.932,1007.1,40.3,33.84,2.77,1.4473,1.932,0.883,0.854,0.1409,0.2479,0.1167
2026-05-15 19:00:00,1.657,1001.1,41.7,33.84,4.8,1.4785,1.657,0.963,0.681,0.1399,0.2482,0.1119
2026-05-15 21:00:00,1.089,999.0,41.2,33.84,5.51,1.4805,1.089,0.922,1.008,0.1418,0.2568,0.1075
2026-05-15 22:00:00,0.237,674.4,45.9,23.39,6.38,0.165,0.172,0.237,0.087,0.0086,0.0196,0.009
2026-05-16 00:00:00,1.103,1071.3,38.5,36.0,3.13,1.6875,0.947,1.103,0.768,0.1304,0.2869,0.1158
2026-05-16 01:00:00,1.387,1059.6,39.5,36.0,7.35,1.8047,0.644,1.387,0.63,0.1338,0.2878,0.1124
2026-05-16 05:00:00,0.95,1071.1,37.4,36.0,3.22,1.6572,0.669,0.95,0.777,0.1305,0.2876,0.1143
